strategy_id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,weight_MaxSharpe_MV_%,weight_MinVariance_MV_%,weight_MinCVaR_%,weight_MaxReturn_CVaRCap_%,weight_ScoreWeighted_%,weight_EqualWeight_%
c18aa9d5,bear,s51|s99|s56|s76,4,0.034341,0.016053,17.6992,0.0,-13.261,44,47.7273,13.2659,0.0,-3.9303,13,61.5385,0.058731,0.0,0.0832,0.0,0.0,0.7368,0.5376
cbbc6ed0,bull,s95|s38|s12|s87,4,0.070108,0.015014,33.5185,0.0,-15.9449,66,28.7879,14.3963,0.0,-8.1101,14,35.7143,0.039311,0.0,0.0832,0.0,0.0,0.4932,0.5376
ee04282e,bear,s81|s71|s50|s23|s22,5,0.07613,0.011186,47.9429,0.0,-11.2732,32,31.25,23.4572,0.0,-6.5772,14,35.7143,0.050747,0.0,0.0832,0.0,0.0,0.6367,0.5376
00ffe125,bull,s24|s21|s79|s83,4,0.04505,0.019082,43.3428,0.0,-8.5381,30,56.6667,1.0102,0.0,-6.3817,10,40.0,0.020979,0.0008,0.0832,0.0,0.0,0.2632,0.5376
a3ea09c4,bear,s100|s28|s18|s62|s13,5,0.035996,0.012646,21.0711,0.0,-14.8303,98,38.7755,0.9196,0.0,-9.3785,34,35.2941,0.055369,0.0001,0.0832,0.0,0.0,0.6946,0.5376
dfec9543,bull,s73|s63|s91,3,0.039843,0.018543,20.7176,0.0,-13.342,68,44.1176,7.8589,0.0,-10.935,12,50.0,0.035671,0.0,0.0832,0.0,0.0,0.4475,0.5376
b78d7668,bear,s57|s76|s81|s22|s50,5,0.026991,0.013922,15.3054,0.0,-13.0759,66,50.0,1.4461,0.0,-11.0746,17,47.0588,0.038671,0.0,0.0832,0.0,0.0,0.4852,0.5376
3292a61d,bear,s25|s90|s67|s51|s23,5,0.038817,0.018879,18.5742,0.0,-10.1515,44,47.7273,7.426,0.0,-5.4275,14,50.0,0.045758,0.0,0.0832,0.0,0.0,0.5741,0.5376
cc0ff810,bear,s28|s23|s20|s101,4,0.045525,0.019018,24.9747,0.0,-16.8037,66,42.4242,0.2337,0.0,-11.426,22,36.3636,0.033329,0.0002,0.0832,0.0,0.0,0.4181,0.5376
308bb82e,bear,s13|s81|s19|s51|s100,5,0.077228,0.01231,38.2862,0.0,-16.6857,68,25.0,10.3949,0.0,-12.4058,20,25.0,0.031745,0.0002,0.0832,0.0,0.0,0.3983,0.5376
