id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score
279e15de,bull,s60|s73|s21,3,0.0599796608,0.0164500337,35.0638,0.0,-8.3511,29,41.3793,0.138817,-4.0281,0.0,-4.6631,2,0.0,-0.001204
bf163bbe,bull,s36|s92|s1|s78,4,0.0577095288,0.0197239909,21.1289,0.0,-13.779,46,36.9565,0.141724,-9.2934,0.0,-12.42,7,14.2857,-0.004421
7a8fa4fa,bull,s60|s95|s78|s33,4,0.0783949046,0.0169352066,30.5818,0.0,-10.4406,40,30.0,0.144804,-9.9891,0.0,-13.6515,5,0.0,-0.008091
0efc70e8,bull,s75|s21|s78|s39,4,0.0687652528,0.0130352078,34.1083,0.0,-8.1939,34,32.3529,0.142059,-8.1932,0.0,-8.1932,5,0.0,-0.005735
7d55db37,bull,s54|s21|s14|s69,4,0.0705393781,0.0175771553,28.0881,0.0,-11.6238,40,32.5,0.139985,-6.3935,0.0,-15.2177,7,14.2857,-0.003972
b3919c19,bull,s15|s21|s68|s43|s5,5,0.0625194783,0.0162428976,30.4747,0.0,-21.4496,89,30.3371,0.148561,-11.0389,0.0,-16.8028,13,15.3846,-0.012587
36c2a1d7,bull,s88|s54|s41|s96,4,0.039077401,0.0132024951,14.0597,0.0,-11.6461,73,36.9863,0.132259,-6.8713,0.0,-17.3162,28,28.5714,0.003517
3f51e8c0,bull,s7|s42|s54|s68|s83,5,0.0603832389,0.0150673087,30.8497,0.0,-14.0429,36,36.1111,0.136514,-4.3123,0.0,-15.5375,10,20.0,-0.000772
3d086b71,bull,s70|s54|s59,3,0.0341694503,0.016415178,17.6415,0.0,-13.5974,36,50.0,0.129437,-4.2644,0.0,-7.8835,7,28.5714,0.006301
ae22d6a1,bull,s39|s91|s63|s78,4,0.0552706412,0.0195799683,27.7947,0.0,-7.7958,33,42.4242,0.141942,-10.9934,0.0,-10.9934,8,12.5,-0.006313
da6c9103,bull,s45|s9|s54|s73|s36,5,0.0489568815,0.0108994269,23.3689,0.0,-7.6575,37,35.1351,0.130172,-1.6841,0.0,-9.9231,9,22.2222,0.005429
52b5c7bf,bull,s96|s68|s21|s94|s43,5,0.0769175438,0.0083406544,43.7052,0.0,-32.9453,84,20.2381,0.136699,-2.0508,0.0,-11.9369,15,13.3333,-0.001204
1f158bef,bull,s21|s39|s59,3,0.0743630072,0.0128385851,37.8873,0.0,-12.6464,36,30.5556,0.147799,-11.1504,0.0,-14.7656,7,0.0,-0.012446
cc1f51d1,bull,s48|s2|s14|s54|s21,5,0.0739878303,0.0157367342,28.6832,0.0,-11.2587,40,30.0,0.136765,-3.8882,0.0,-7.1858,2,0.0,-0.001484
21d2e763,bull,s78|s33|s96|s47|s15,5,0.0618395495,0.0191656162,33.3767,0.0,-34.3032,110,32.7273,0.128779,-4.717,0.0,-9.717,12,25.0,0.006475
b5fd3fe3,bull,s59|s42|s21,3,0.060166433,0.0198928205,33.149,0.0,-16.5798,37,40.5405,0.151314,-14.4417,0.0,-16.9976,13,15.3846,-0.016278
d21fd942,bull,s83|s33|s78|s6,4,0.0602645268,0.0196831625,25.5165,0.0,-17.9927,43,37.2093,0.137356,-7.8663,0.0,-13.6014,10,20.0,-0.002454
d596fb70,bull,s92|s4|s78|s96,4,0.0551223841,0.0193570026,21.2098,0.0,-19.8522,54,37.037,0.136394,-8.8546,0.0,-13.2572,13,23.0769,-0.001549
b141e1f7,bull,s42|s68|s21,3,0.0662067117,0.0199337496,25.3189,0.0,-13.4598,43,34.8837,0.142371,-10.3304,0.0,-14.8019,15,20.0,-0.007718
8682ca3f,bull,s8|s21|s30,3,0.0797911648,0.0167093443,36.0891,0.0,-20.542,84,26.1905,0.161302,-14.5218,0.0,-16.1795,21,14.2857,-0.026783
7a8037d8,bull,s84|s78|s24|s73,4,0.0470248132,0.0193303788,36.3295,0.0,-7.2538,23,56.5217,0.134836,-2.9295,0.0,-2.9295,1,0.0,-0.00041
50caab9e,bull,s21|s59|s34|s69,4,0.0611575609,0.0118518373,40.2012,0.0,-9.8529,28,39.2857,0.139498,-7.6429,0.0,-7.6429,5,0.0,-0.00535
1deeda5c,bull,s73|s11|s1|s78,4,0.0636021285,0.0184120455,23.3247,0.0,-13.0855,44,34.0909,0.137557,-8.0559,0.0,-11.7769,7,14.2857,-0.003458
fec161d1,bull,s59|s33|s4|s21,4,0.0523740136,0.0137373548,25.9302,0.0,-10.7023,38,36.8421,0.138427,-7.481,0.0,-11.7206,8,12.5,-0.004414
997b53fa,bull,s21|s10|s30|s96,4,0.0679161245,0.0153323011,28.5857,0.0,-16.0357,58,29.3103,0.154167,-16.0312,0.0,-16.0312,9,0.0,-0.020199
0887f36c,bull,s21|s4|s47|s41,4,0.0654993911,0.0143630021,24.9135,0.0,-10.482,47,29.7872,0.148115,-11.7517,0.0,-15.3425,11,9.0909,-0.014468
b59766d4,bull,s47|s14|s21|s10,4,0.0756680999,0.0187282702,38.1241,0.0,-12.8071,34,35.2941,0.149571,-14.7941,0.0,-18.261,7,0.0,-0.015954
c7069fb4,bull,s94|s59|s43,3,0.0683818893,0.018959561,26.0941,0.0,-23.0344,60,31.6667,0.130273,-0.7103,0.0,-10.4838,4,25.0,0.003257
82ee3693,bull,s45|s95|s94|s6|s35,5,0.0604137171,0.0193727504,19.1523,0.0,-15.1799,49,34.6939,0.132448,-3.8836,0.0,-11.5002,5,20.0,0.000996
286a54a9,bull,s87|s84|s34|s58,4,0.049174975,0.018612917,21.3011,0.0,-23.1209,56,39.2857,0.133699,-2.2514,0.0,-2.8981,1,0.0,-0.000354
07b62973,bear,s85|s99|s17|s101|s51,5,0.076633345,0.0086121513,42.1388,0.0,-10.7766,31,29.0323,0.13846,-6.0586,0.0,-7.8642,18,11.1111,-0.005218
a25ac783,bull,s44|s47|s59|s10|s91,5,0.0404752634,0.0186390374,19.6435,0.0,-18.8754,87,42.5287,0.149534,-14.4907,0.0,-20.3699,12,16.6667,-0.016577
3b40b9df,bull,s92|s8|s82|s21,4,0.0703741301,0.0158168332,30.8991,0.0,-11.341,37,32.4324,0.138284,-9.1034,0.0,-9.1034,9,11.1111,-0.00547
bfd0a394,bull,s94|s59|s27,3,0.0701031721,0.0198223763,34.4038,0.0,-32.5309,90,31.1111,0.133356,-2.3663,0.0,-6.3388,1,0.0,-0.00057
aef64ad3,bull,s59|s21|s65,3,0.0529961669,0.0108546741,31.41,0.0,-8.548,32,37.5,0.135997,-5.7795,0.0,-5.7795,4,0.0,-0.003237
